Martin Manderas: 	::His eyes wander across the seemingly ancient city that sprawls around him, this spot on ~
Martin Manderas: 	the balcony had always been his favorite, adoring high places it took his mind back to the ~
Martin Manderas: 	grand homes he has owned through time.  Each one fitted with some high perch where he could~
Martin Manderas: 	dwell to look down on those below him, like the royalty that he had been through most of ~
Martin Manderas: 	his existance.  People were a study of his, and how they worked a science into itself.  ~
Martin Manderas: 	Long years passes since he had actually found a person of interest::
Maia Lndmt: 	::Having spent the early most hours of the evening at the center, she left the children with
Maia Lndmt: 	a smile in her eyes.  They so sweetly clustered, PJ's and bare feet.  She was so enchanted 
Maia Lndmt: 	by the lingering spirits within these city walls, it was as if she were not alone.. even if 
Maia Lndmt: 	the streets had been completely empty; which they never were. Wandering, but with purpose 
Maia Lndmt: 	she found herself a casual passerby, enveloped within the garden district so animate with 
Maia Lndmt: 	the blooms of the season.  Touching her fingertips to an wrought iron fence, she bowed her 
Maia Lndmt: 	head to inhale the dainty scent of a creeping cluster of white; sweeping back the inevitable
Maia Lndmt: 	strands of sunfire that trickled across her cheek and clung to the natural moisture of her 
Maia Lndmt: 	blushing lips::
Martin Manderas: 	::He watched everyone pass by, most were rather uncouth and stained in his eyes, the sins ~
Martin Manderas: 	that followed them could nearly be seen as they passed. None of them catching his interest~
Martin Manderas: 	until his eyes caught the pale beauty that trailed her fingers across the gate of his home,~
Martin Manderas: 	apparently she had a taste for finery and her hair was most beholden to him.  That coloring~
Martin Manderas: 	always seemed rare and exotic to one who spent most of his living days inthe presence of ~
Martin Manderas: 	the dark haired mediteranean peoples.  He leaned on his elbows and watched her, the grace ~
Martin Manderas: 	of each movement showed a hint of proper lineage or at least schooling, everything about ~
Martin Manderas: 	her screamed proper, and lovely.  Everything about her seemed... good::
Maia Lndmt: 	::Gazing into the intoxicating gathering of angel sweet bloom, she pondered the species of 
Maia Lndmt: 	floral.. one she did not know.  Unaware of being watched, she eased closer to the would be 
Maia Lndmt: 	barrier of the gate, driven to snare a single treasure from the vine.  Tilting her head 
Maia Lndmt: 	further, the bone structure in her delicate rolling shoulders enhanced slightly as she 
